rank,city,state,2020_census,2010_census,percent_change,land_area_mi,land_area_km,pop_density_mi,pop_density_km,degrees_north,degrees_west
1,New York,New York,8804190,8175133,7.69,300.5,778.3,29298,11312,40.66,73.93
2,Los Angeles,California,3898747,3792621,2.8,469.5,1216,8304,3206,34.01,118.41
3,Chicago,Illinois,2746388,2695598,1.88,227.7,589.7,12061,4657,41.83,87.68
4,Houston,Texas,2304580,2099451,9.77,640.4,1658.6,3599,1390,29.78,95.39
5,Phoenix,Arizona,1608139,1445632,11.24,518,1341.6,3105,1199,33.57,112.09
6,Philadelphia,Pennsylvania,1603797,1526006,5.1,134.4,348.1,11933,4607,40,75.13
7,San Antonio,Texas,1434625,1327407,8.08,498.8,1291.9,2876,1110,29.47,98.52
8,San Diego,California,1386932,1307402,6.08,325.9,844.1,4256,1643,32.81,117.13
9,Dallas,Texas,1304379,1197816,8.9,339.6,879.6,3841,1483,32.79,96.76
10,San Jose,California,1013240,945942,7.11,178.3,461.8,5683,2194,37.29,121.81
11,Austin,Texas,961855,790390,21.69,319.9,828.5,3007,1161,30.3,97.75
12,Jacksonville,Florida,949611,821784,15.55,747.3,1935.5,1271,491,30.33,81.66
13,Fort Worth,Texas,918915,741206,23.98,342.9,888.1,2646,1022,32.78,97.34
14,Columbus,Ohio,905748,787033,15.08,220,569.8,4117,1590,39.98,82.98
15,Indianapolis,Indiana,887642,820445,8.19,361.6,936.5,2455,948,39.77,86.14
16,Charlotte,North Carolina,874579,731424,19.57,308.3,798.5,2837,1095,35.2,80.83
17,San Francisco,California,873965,805235,8.54,46.9,121.5,18635,7195,37.72,123.03
18,Seattle,Washington,737015,608660,21.09,83.8,217,8795,3396,47.62,122.35
19,Denver,Colorado,715522,600158,19.22,153.1,396.5,4674,1805,39.76,104.88
20,Washington,District of Columbia,689545,601723,14.6,61.1,158.2,11286,4358,38.9,77.01
21,Nashville,Tennessee,689447,601222,14.67,475.8,1232.3,1449,559,36.17,86.78
22,Oklahoma City,Oklahoma,681054,579999,17.42,606.2,1570.1,1123,434,35.46,97.51
23,El Paso,Texas,678815,649121,4.57,258.4,669.3,2627,1014,31.84,106.42
24,Boston,Massachusetts,675647,617594,9.4,48.3,125.1,13989,5401,42.33,71.02
25,Portland,Oregon,652503,583776,11.77,133.5,345.8,4888,1887,45.53,122.65
26,Las Vegas,Nevada,641903,583756,9.96,141.8,367.3,4527,1748,36.22,115.26
27,Detroit,Michigan,639111,713777,10.46,138.7,359.2,4608,1779,42.38,83.1
28,Memphis,Tennessee,633104,646889,2.13,297,769.2,2132,823,35.1,89.97
29,Louisville,Kentucky,633045,597337,5.98,263.5,682.5,2402,927,38.16,85.64
30,Baltimore,Maryland,585708,620961,5.68,80.9,209.5,7240,2800,39.3,76.61
31,Milwaukee,Wisconsin,577222,594833,2.96,96.2,249.2,6000,2300,43.06,87.96
32,Albuquerque,New Mexico,564559,545852,3.43,187.3,485.1,3014,1164,35.1,106.64
33,Tucson,Arizona,542629,520116,4.33,241,624.2,2252,870,32.15,110.87
34,Fresno,California,542107,494665,9.59,115.2,298.4,4706,1817,36.78,119.79
35,Sacramento,California,524943,466488,12.53,98.6,255.4,5324,2056,38.56,121.46
36,Kansas City,Missouri,508090,459787,10.51,314.7,815.1,1615,624,39.12,94.55
